,Web Type,WebType Count,WebType Citations
3,Q&A Post,63.0,7374.0
0,Blog Post,28.0,4041.0
30,Other,6.0,452.0
51,User Profile,3.0,178.0
4,Official Documentation,0,0
5,Images,0,0
6,Product/Project Website,0,0
7,Wiki,0,0
